Treatment	Group	Player	Proposal R1	Pledge R1	Contribution R1	Contribution R2	Contribution R3	Contribution R4	Contribution R5	Proposal R6	Pledge R6	Contribution R6	Contribution R7	Contribution R8	Contribution R9	Contribution R10
T2	5	5	200	25	0	0	0	4	0	200	24	4	4	4	4	2
T2	5	6	120	20	2	0	2	2	2	110	14	2	2	0	2	0
T2	6	1	180	30	0	0	0	2	2	140	20	0	2	0	2	0
T2	6	2	100	10	2	0	0	2	2	110	14	2	0	2	0	0
T2	6	3	120	24	2	2	2	2	2	120	20	2	0	2	0	0
T2	6	4	150	20	0	0	0	0	0	120	20	0	0	0	0	0
T2	6	5	120	20	2	2	2	2	2	120	20	2	0	0	0	0
T2	6	6	80	12	2	0	2	0	2	80	10	0	2	0	0	0
T2	7	1	180	30	2	2	4	0	2	100	15	2	2	0	2	2
T2	7	2	200	20	2	2	2	2	2	200	20	2	2	2	2	2
T2	7	3	94	18	0	2	2	4	2	80	18	0	2	2	0	0
T2	7	4	12	10	4	0	4	2	0	240	10	4	0	2	4	0
T2	7	5	2	4	2	4	0	2	2	100	10	2	0	4	2	2
T2	7	6	100	10	2	0	4	2	4	110	18	2	2	2	2	2
T2	8	1	120	15	2	0	2	4	2	20	15	2	2	0	2	2
T2	8	2	110	12	2	4	0	2	0	110	13	0	0	0	2	2
T2	8	3	180	20	2	2	4	2	0	120	18	2	2	0	0	4
T2	8	4	156	26	2	2	4	2	2	132	20	2	2	2	2	2
T2	8	5	120	20	2	4	2	0	2	120	20	2	2	0	4	2
T2	8	6	120	20	2	2	2	2	2	120	20	2	2	2	2	0
T2	9	1	130	20	2	2	2	2	2	130	22	2	2	0	4	4
T2	9	2	120	20	2	2	2	0	2	120	20	2	0	2	2	0
T2	9	3	180	30	2	4	4	4	4	180	30	4	4	4	0	0
T2	9	4	120	20	2	2	0	0	2	120	10	0	0	2	0	2
T2	9	5	180	10	2	0	0	2	0	150	5	2	0	0	2	0
T2	9	6	120	20	2	2	4	4	2	120	20	2	2	2	0	0
T2	10	1	120	20	2	4	0	2	0	120	20	4	2	2	2	2
T2	10	2	120	12	2	2	2	2	2	100	16	0	2	0	0	0
T2	10	3	120	20	2	2	2	2	2	120	20	0	2	0	0	0
T2	10	4	180	3	2	2	4	2	2	160	30	2	4	2	2	0
T2	10	5	140	25	2	0	2	0	2	130	22	2	0	2	0	0
T2	10	6	120	20	4	2	2	2	2	120	20	2	2	2	2	2
T3	1	1	120	20	2	2	2	0	2	100	20	0	2	2	0	2
T3	1	2	120	12	2	2	2	2	0	120	12	0	0	2	2	2
T3	1	3	140	18	2	2	2	2	0	140	18	2	2	2	2	4
T3	1	4	120	14	2	0	2	2	2	140	16	2	2	2	0	2
T3	1	5	40	25	4	2	2	2	4	130	35	2	2	2	2	2
T3	1	6	120	18	2	2	0	2	2	125	20	2	4	2	0	0
T3	2	1	0	0	0	0	0	0	0	59	0	0	0	0	0	0
T3	2	2	150	20	4	4	4	4	4	10	20	0	0	0	4	4
T3	2	3	120	20	0	2	2	4	0	125	20	4	0	0	0	4
T3	2	4	90	20	2	2	4	2	4	150	30	2	4	4	0	0
T3	2	5	100	15	0	0	0	0	0	90	5	2	0	2	0	0
T3	2	6	120	20	2	2	2	2	2	120	24	2	0	4	4	4
T3	3	1	150	20	2	2	2	0	2	100	16	2	2	2	2	2
T3	3	2	120	30	2	4	2	4	2	120	28	2	2	2	4	4
T3	3	3	120	30	2	4	4	2	4	120	30	2	4	4	2	2
T3	3	4	110	18	2	4	0	2	2	160	22	2	2	2	4	0
